000016.5s Jx14 
000026.00 Jx15S
000036.50 Jx15S
000047.00 Jx15S
000057.00 Jx15L
000068.00 Jx17L
000079.00 Jx17L
000080.00   00L
000094.50 Jx13S
000105.00 Jx13S
000115.00 Jx14S
000125.50 Jx14S
000135.00 Jx13L
000145.50 Jx15 
000155.50 Jx14 
000166.50 Jx15L
000175.50 Jx13L
000187.00 Jx16L
000195.50 Jx14L
000207.50 Jx16L
000216.00 Jx15L
000226.00 Jx14L
000238.00 Jx18L
000246.00 Jx14S
000256.50 Jx16L
000265.50 Jx13 
000277.50 Jx17L
000288.50 Jx17L
000295.00 Jx14L
000304.00 Bx12S
